,config,energy,magnetization
0,"[[ 1 -1 -1 -1  1  1 -1  1  1  1 -1  1  1  1 -1 -1  1  1 -1  1]
 [-1 -1  1  1  1  1 -1  1 -1 -1 -1 -1  1  1 -1  1  1 -1  1 -1]
 [-1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1  1  1 -1  1 -1  1  1]
 [-1 -1  1  1  1 -1  1 -1 -1 -1  1 -1  1 -1 -1 -1  1 -1 -1  1]
 [-1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1 -1 -1 -1  1  1]
 [-1 -1 -1  1  1 -1 -1  1  1 -1  1 -1 -1 -1  1 -1  1  1 -1 -1]
 [-1 -1  1 -1  1  1 -1  1 -1  1  1  1 -1  1  1  1 -1  1 -1  1]
 [ 1  1  1 -1  1  1 -1 -1  1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1]
 [ 1  1  1  1  1  1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1  1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1  1  1  1 -1  1  1 -1  1 -1 -1  1  1]
 [-1 -1  1  1  1 -1 -1 -1 -1  1  1  1  1  1 -1 -1  1  1  1 -1]
 [ 1  1 -1  1  1  1  1 -1 -1  1  1  1  1 -1 -1 -1 -1  1 -1  1]
 [-1  1  1  1  1  1  1  1  1  1  1  1 -1 -1  1 -1  1  1 -1 -1]
 [-1 -1  1  1  1  1  1 -1  1  1  1  1 -1 -1 -1 -1 -1  1 -1 -1]
 [-1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1  1 -1  1 -1 -1  1 -1 -1  1  1  1  1 -1  1 -1 -1]
 [-1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1]
 [-1  1 -1 -1  1  1 -1  1  1  1  1  1  1  1 -1 -1 -1 -1  1  1]
 [-1  1  1  1  1 -1  1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1]
 [-1  1 -1 -1  1  1  1  1  1  1  1 -1 -1  1  1  1 -1  1  1  1]]",-0.32,0.02
1,"[[ 1  1 -1  1 -1  1 -1  1 -1 -1  1 -1  1 -1 -1  1  1 -1  1  1]
 [ 1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1 -1  1 -1]
 [-1 -1 -1  1  1  1  1  1  1  1 -1  1  1  1 -1 -1 -1 -1  1  1]
 [ 1 -1 -1  1  1 -1  1 -1 -1  1 -1  1  1 -1 -1  1  1 -1  1  1]
 [ 1  1 -1  1 -1 -1  1  1  1  1  1 -1  1 -1  1 -1  1  1  1  1]
 [-1 -1 -1  1 -1 -1  1  1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1  1  1  1  1 -1  1 -1 -1  1  1 -1 -1  1  1  1 -1]
 [-1 -1 -1  1 -1 -1 -1  1  1  1 -1  1  1  1  1 -1 -1  1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1  1 -1  1  1 -1  1 -1 -1 -1 -1  1  1]
 [ 1  1  1  1  1 -1  1 -1  1 -1  1 -1 -1 -1  1  1 -1  1 -1  1]
 [-1  1 -1  1  1 -1  1  1 -1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1]
 [-1 -1 -1  1  1  1  1 -1 -1  1  1 -1  1  1  1  1  1  1 -1 -1]
 [ 1  1  1 -1 -1  1 -1 -1 -1  1 -1 -1  1  1  1  1  1 -1  1  1]
 [ 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1 -1]
 [ 1 -1  1 -1 -1  1 -1  1 -1 -1 -1  1  1  1  1  1  1  1  1 -1]
 [-1  1  1 -1 -1 -1 -1  1 -1 -1 -1  1  1 -1  1  1 -1  1  1 -1]
 [-1 -1 -1  1 -1 -1 -1  1 -1 -1  1  1 -1  1  1 -1  1  1  1 -1]
 [ 1 -1  1  1 -1  1  1 -1  1 -1 -1 -1  1 -1 -1  1 -1  1 -1 -1]
 [-1 -1  1 -1 -1  1  1  1  1 -1  1 -1  1 -1 -1  1  1  1  1  1]
 [ 1  1 -1  1  1 -1  1 -1  1 -1  1 -1  1 -1 -1  1 -1  1 -1  1]]",-0.13,0.0
2,"[[ 1 -1  1 -1 -1  1 -1  1  1  1 -1 -1 -1  1 -1  1 -1 -1  1  1]
 [ 1  1  1  1 -1  1  1  1 -1  1  1 -1 -1  1  1  1 -1 -1  1  1]
 [ 1 -1 -1  1  1  1  1  1  1 -1  1 -1 -1 -1 -1  1 -1  1  1  1]
 [ 1 -1  1  1  1 -1  1 -1  1 -1  1 -1  1  1  1 -1  1  1 -1 -1]
 [-1 -1  1 -1 -1 -1  1 -1  1 -1  1  1 -1 -1 -1 -1  1 -1 -1 -1]
 [ 1 -1 -1 -1  1 -1  1  1  1  1  1 -1  1 -1 -1  1 -1  1  1 -1]
 [-1 -1  1 -1  1 -1 -1  1  1 -1  1  1  1  1 -1  1 -1 -1  1  1]
 [-1  1  1  1  1  1 -1  1  1  1  1  1  1  1  1  1 -1  1  1  1]
 [-1  1  1 -1  1  1 -1  1  1  1  1  1 -1  1 -1  1 -1  1  1  1]
 [-1 -1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1 -1 -1  1  1]
 [-1 -1  1  1  1  1  1  1  1 -1  1 -1  1 -1 -1 -1 -1  1 -1 -1]
 [ 1 -1  1  1 -1 -1  1  1 -1 -1  1 -1 -1 -1 -1 -1  1  1  1 -1]
 [ 1  1  1  1  1  1 -1  1 -1 -1 -1  1 -1  1  1 -1 -1  1  1  1]
 [-1 -1 -1  1 -1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1 -1  1  1]
 [-1  1 -1 -1 -1 -1 -1  1  1  1 -1 -1  1  1 -1 -1 -1  1  1 -1]
 [ 1  1 -1  1  1 -1 -1  1  1  1  1  1  1  1 -1 -1 -1  1  1  1]
 [ 1  1  1  1  1 -1  1  1 -1 -1  1 -1  1  1 -1  1 -1 -1 -1 -1]
 [-1  1  1  1 -1 -1 -1 -1  1 -1  1 -1  1  1  1 -1 -1  1 -1 -1]
 [-1  1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1  1 -1 -1  1  1  1]
 [ 1 -1 -1  1  1  1  1  1 -1  1 -1  1 -1 -1  1  1  1  1 -1 -1]]",-0.22,0.11
3,"[[-1 -1  1 -1  1  1  1  1 -1 -1 -1  1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1  1 -1  1 -1 -1  1 -1 -1 -1 -1  1  1 -1  1]
 [ 1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1  1  1]
 [-1  1  1  1  1  1 -1 -1 -1 -1  1  1 -1 -1  1  1  1 -1  1  1]
 [ 1 -1  1 -1  1 -1 -1  1  1 -1 -1  1 -1 -1 -1  1  1  1 -1 -1]
 [ 1 -1  1  1  1  1 -1  1 -1  1 -1  1  1  1  1  1 -1  1  1  1]
 [ 1 -1  1  1  1  1  1 -1 -1 -1 -1  1 -1 -1  1  1  1 -1  1  1]
 [-1  1  1  1 -1  1 -1 -1 -1 -1  1  1  1 -1  1  1 -1 -1 -1  1]
 [ 1  1  1 -1 -1  1  1  1 -1 -1 -1  1 -1  1 -1  1  1 -1 -1 -1]
 [ 1  1  1  1 -1  1  1  1  1 -1 -1 -1  1  1  1 -1  1 -1  1 -1]
 [-1  1  1  1  1  1  1  1 -1  1  1 -1 -1  1  1  1 -1  1  1  1]
 [-1 -1  1 -1 -1  1  1  1 -1 -1  1  1  1 -1  1  1  1  1  1 -1]
 [-1  1 -1 -1 -1  1  1 -1  1  1  1  1 -1  1 -1 -1  1  1  1 -1]
 [ 1  1  1 -1 -1 -1 -1 -1  1 -1  1  1  1  1 -1 -1  1  1 -1  1]
 [-1 -1 -1 -1 -1  1  1 -1  1 -1  1  1 -1 -1  1  1 -1  1 -1  1]
 [ 1 -1  1 -1  1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1 -1  1 -1]
 [ 1  1  1 -1 -1 -1  1  1 -1 -1  1 -1  1  1  1  1  1 -1  1 -1]
 [ 1  1  1 -1 -1 -1 -1  1  1 -1  1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1  1 -1 -1  1 -1 -1 -1 -1  1  1  1  1  1 -1 -1 -1 -1  1 -1]
 [-1 -1  1 -1  1  1 -1  1 -1 -1  1 -1  1 -1 -1 -1 -1 -1 -1  1]]",-0.21,0.015
4,"[[ 1  1  1  1 -1 -1  1  1 -1 -1  1 -1 -1  1  1  1 -1  1  1  1]
 [ 1 -1  1  1  1  1 -1 -1 -1  1  1 -1 -1  1  1 -1  1  1  1 -1]
 [-1  1 -1 -1 -1  1 -1 -1  1  1  1 -1  1 -1 -1 -1  1  1  1 -1]
 [ 1  1 -1 -1  1  1  1 -1  1 -1  1  1  1 -1 -1  1  1  1 -1  1]
 [-1  1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1  1 -1]
 [-1  1  1  1  1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1  1  1 -1  1]
 [-1 -1  1 -1 -1  1 -1 -1 -1 -1 -1  1  1  1  1 -1  1  1 -1 -1]
 [ 1 -1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1  1 -1 -1]
 [ 1  1  1 -1  1 -1 -1 -1 -1  1  1  1 -1  1  1  1 -1 -1 -1  1]
 [ 1 -1 -1 -1  1 -1 -1  1  1  1  1  1 -1  1 -1  1  1  1  1  1]
 [ 1  1 -1  1  1  1 -1 -1  1  1 -1  1  1  1 -1 -1  1 -1  1  1]
 [-1  1 -1  1  1  1  1 -1  1 -1 -1  1  1 -1  1 -1  1 -1 -1  1]
 [-1 -1  1  1 -1 -1 -1 -1  1  1  1 -1 -1  1  1 -1  1 -1  1  1]
 [ 1  1  1 -1  1 -1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1  1  1]
 [ 1  1 -1 -1  1 -1 -1 -1  1  1  1  1  1  1  1  1 -1  1  1 -1]
 [ 1  1  1 -1  1  1 -1 -1  1  1  1 -1  1  1 -1  1  1  1 -1 -1]
 [ 1  1 -1  1 -1 -1  1  1  1 -1  1  1 -1 -1 -1 -1 -1 -1  1  1]
 [-1 -1 -1 -1 -1  1 -1  1  1 -1 -1 -1 -1  1 -1 -1 -1  1  1  1]
 [-1 -1  1 -1  1 -1  1 -1 -1  1 -1  1 -1 -1  1  1  1  1  1  1]
 [ 1  1  1 -1  1 -1  1  1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1  1]]",-0.22,0.055
5,"[[ 1 -1 -1 -1 -1 -1 -1  1  1 -1  1 -1 -1  1 -1 -1  1  1 -1 -1]
 [-1  1 -1 -1 -1 -1 -1  1  1 -1 -1  1 -1  1  1 -1 -1  1  1  1]
 [-1  1  1  1 -1  1 -1  1  1 -1 -1  1 -1  1  1 -1 -1  1 -1  1]
 [-1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1  1 -1 -1  1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1  1 -1]
 [-1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1  1  1]
 [-1 -1 -1  1 -1 -1 -1 -1  1  1  1 -1  1 -1 -1 -1  1 -1 -1  1]
 [-1  1 -1  1 -1 -1 -1 -1  1  1  1 -1  1  1  1 -1 -1 -1  1  1]
 [-1  1  1 -1  1  1  1  1  1 -1 -1 -1 -1  1 -1  1  1 -1  1  1]
 [ 1  1  1  1  1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1]
 [ 1  1  1  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1 -1 -1  1 -1]
 [-1  1  1  1  1 -1  1 -1 -1 -1  1 -1 -1 -1  1  1  1  1 -1  1]
 [-1  1  1  1  1  1 -1  1 -1 -1  1  1  1  1  1  1  1  1 -1  1]
 [ 1  1 -1  1 -1 -1 -1  1 -1 -1 -1  1  1  1  1  1 -1  1  1 -1]
 [-1  1  1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1  1  1  1]
 [ 1  1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1  1 -1 -1 -1  1  1]
 [ 1 -1  1 -1 -1  1  1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1]
 [ 1 -1 -1 -1  1 -1 -1  1  1 -1 -1  1 -1 -1 -1  1  1 -1 -1  1]
 [-1  1 -1  1  1 -1  1  1 -1 -1 -1  1  1  1  1 -1  1  1 -1 -1]]",-0.27,-0.105
6,"[[-1 -1  1  1  1  1  1 -1  1  1 -1  1 -1  1 -1 -1 -1 -1  1 -1]
 [ 1 -1  1  1 -1  1  1  1  1  1  1 -1  1 -1 -1 -1 -1 -1 -1 -1]
 [ 1 -1  1 -1 -1 -1 -1  1  1  1  1 -1 -1  1 -1 -1 -1 -1 -1  1]
 [ 1 -1  1 -1  1  1  1 -1 -1  1  1 -1 -1  1 -1 -1 -1 -1  1  1]
 [ 1  1 -1 -1  1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1 -1 -1 -1  1]
 [-1  1  1 -1 -1  1 -1  1  1  1  1  1  1  1 -1 -1 -1  1 -1 -1]
 [-1 -1 -1  1  1 -1 -1  1  1  1  1 -1  1 -1 -1  1  1 -1  1 -1]
 [-1  1  1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1 -1  1 -1 -1 -1 -1]
 [ 1  1  1  1  1  1 -1 -1  1  1  1 -1  1  1 -1 -1 -1  1 -1  1]
 [ 1  1 -1 -1 -1 -1  1 -1  1 -1 -1 -1 -1  1  1  1  1  1 -1 -1]
 [-1  1 -1 -1  1  1 -1  1 -1 -1 -1  1 -1 -1  1  1  1  1 -1  1]
 [-1 -1  1 -1  1  1  1 -1  1 -1 -1 -1  1 -1  1 -1  1 -1  1  1]
 [ 1 -1 -1  1 -1 -1 -1 -1  1 -1 -1  1  1 -1 -1  1  1 -1 -1 -1]
 [-1 -1  1 -1  1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1 -1  1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [-1  1  1 -1  1  1 -1 -1  1  1  1  1 -1 -1 -1 -1  1 -1  1 -1]
 [ 1 -1  1  1 -1 -1 -1  1 -1  1  1 -1 -1 -1  1 -1 -1 -1  1 -1]
 [-1  1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1  1  1 -1  1 -1  1]
 [-1  1 -1  1 -1  1 -1 -1  1  1  1 -1  1  1  1 -1 -1 -1  1 -1]
 [ 1  1 -1  1  1  1 -1 -1  1 -1 -1  1  1  1 -1 -1 -1 -1  1 -1]]",-0.09,-0.075
7,"[[-1 -1  1 -1  1 -1 -1 -1 -1 -1  1  1  1 -1  1  1  1  1  1 -1]
 [-1 -1  1  1 -1  1 -1 -1 -1  1 -1  1  1 -1 -1  1 -1 -1 -1 -1]
 [-1  1  1  1 -1 -1  1 -1 -1 -1 -1  1  1  1  1  1  1 -1  1  1]
 [-1  1  1  1 -1  1  1 -1 -1  1  1 -1 -1  1  1  1 -1  1  1  1]
 [ 1  1  1  1  1  1  1 -1  1  1  1  1 -1 -1  1 -1 -1 -1  1 -1]
 [ 1 -1 -1  1  1  1  1  1  1 -1  1  1  1  1  1  1  1 -1  1  1]
 [ 1 -1 -1 -1 -1  1 -1  1 -1 -1  1  1 -1  1 -1  1 -1 -1  1  1]
 [ 1  1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1  1  1  1 -1]
 [-1  1 -1  1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1  1 -1 -1 -1 -1]
 [-1  1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1  1 -1  1  1  1 -1 -1]
 [-1 -1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1]
 [ 1 -1  1 -1  1 -1 -1 -1  1 -1  1  1 -1 -1 -1 -1  1 -1 -1  1]
 [-1 -1 -1  1 -1  1  1  1  1 -1  1 -1  1 -1 -1  1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1 -1  1  1 -1 -1 -1  1]
 [-1  1  1 -1  1  1  1 -1  1  1 -1 -1  1  1  1 -1 -1  1 -1  1]
 [-1 -1  1  1  1 -1 -1 -1  1 -1 -1  1  1 -1 -1 -1 -1 -1  1 -1]
 [ 1 -1 -1 -1  1 -1 -1 -1 -1 -1  1  1 -1  1  1 -1  1 -1  1 -1]
 [ 1 -1  1 -1 -1  1  1  1 -1  1  1 -1  1 -1  1 -1  1 -1 -1  1]
 [ 1 -1  1  1  1  1 -1 -1  1  1  1 -1 -1  1  1  1  1 -1 -1  1]
 [-1 -1  1  1  1  1  1  1  1 -1 -1  1 -1 -1 -1 -1  1 -1 -1 -1]]",-0.17,-0.04
8,"[[-1  1 -1  1  1 -1  1  1  1  1  1 -1 -1 -1  1 -1 -1  1  1  1]
 [ 1 -1 -1 -1  1 -1  1  1  1 -1  1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1 -1  1 -1 -1  1  1  1  1  1  1  1 -1  1 -1 -1 -1 -1 -1]
 [ 1  1 -1 -1  1 -1 -1 -1 -1 -1  1  1 -1  1  1  1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1  1  1 -1 -1 -1  1  1  1]
 [ 1 -1 -1  1  1 -1 -1  1 -1 -1  1  1  1  1 -1 -1 -1  1  1  1]
 [ 1  1  1  1 -1  1  1  1  1 -1 -1 -1 -1  1 -1 -1 -1  1  1  1]
 [ 1  1 -1  1 -1 -1  1 -1 -1 -1 -1 -1  1  1  1  1 -1  1  1 -1]
 [ 1  1 -1  1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1]
 [ 1  1 -1  1  1  1  1  1 -1 -1  1  1  1 -1 -1 -1  1  1  1 -1]
 [-1  1 -1 -1  1 -1  1  1 -1 -1  1 -1 -1 -1  1 -1  1 -1  1 -1]
 [ 1 -1 -1 -1 -1 -1  1  1 -1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1]
 [-1  1  1  1 -1  1 -1  1  1  1  1  1 -1  1  1 -1  1 -1 -1  1]
 [ 1  1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1 -1  1 -1 -1  1  1]
 [ 1  1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1 -1 -1 -1  1  1  1 -1]
 [-1 -1  1  1  1  1  1  1  1 -1  1 -1 -1 -1 -1 -1 -1  1  1  1]
 [-1 -1  1  1  1  1  1  1 -1  1 -1  1 -1  1  1  1 -1 -1 -1 -1]
 [ 1 -1  1  1  1  1  1  1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1  1]
 [ 1  1  1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1]
 [-1 -1 -1 -1  1 -1  1 -1  1 -1  1  1 -1  1  1  1  1  1  1 -1]]",-0.24,-0.015
9,"[[ 1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1 -1 -1  1  1 -1 -1 -1  1]
 [ 1  1 -1 -1 -1  1 -1  1  1  1  1  1 -1  1 -1 -1 -1  1  1 -1]
 [ 1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1 -1  1 -1  1  1  1  1 -1]
 [ 1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1 -1  1 -1  1  1  1 -1]
 [ 1  1 -1  1 -1  1  1  1  1 -1  1 -1 -1 -1  1  1  1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1  1 -1  1 -1 -1 -1  1]
 [ 1  1 -1  1  1 -1 -1  1  1 -1  1  1  1  1 -1 -1 -1  1 -1  1]
 [ 1 -1 -1 -1  1  1 -1  1  1  1  1 -1  1 -1 -1  1  1 -1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1  1 -1 -1  1 -1  1 -1  1 -1  1  1  1 -1]
 [-1  1 -1 -1  1  1 -1 -1  1  1 -1 -1  1 -1  1 -1  1  1 -1  1]
 [ 1  1 -1  1  1 -1 -1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1  1  1 -1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1  1  1]
 [ 1 -1  1  1  1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1  1  1 -1]
 [ 1 -1  1  1 -1  1  1  1  1 -1 -1  1  1 -1  1  1 -1 -1 -1 -1]
 [-1  1 -1  1 -1  1 -1 -1  1  1 -1 -1 -1  1  1  1 -1 -1  1 -1]
 [ 1 -1  1  1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1 -1  1 -1 -1]
 [-1 -1 -1  1  1  1 -1 -1 -1 -1  1  1 -1  1  1  1 -1 -1 -1 -1]
 [-1  1  1  1 -1  1 -1  1  1  1  1 -1  1 -1  1 -1  1 -1  1 -1]
 [ 1 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1 -1  1  1 -1  1  1]
 [ 1 -1  1  1 -1 -1 -1  1  1 -1 -1  1 -1 -1 -1  1 -1  1  1  1]]",-0.08,0.0
