,config,energy,magnetization
0,"[[ 1  1 -1  1  1 -1  1  1  1  1  1 -1 -1  1 -1 -1]
 [ 1  1  1  1  1 -1 -1  1 -1  1  1 -1 -1 -1 -1 -1]
 [ 1  1  1 -1  1  1  1  1 -1 -1 -1  1  1  1 -1 -1]
 [ 1  1 -1 -1  1  1 -1 -1  1  1 -1  1  1 -1  1  1]
 [-1  1 -1 -1  1  1 -1 -1  1 -1 -1  1 -1  1  1  1]
 [ 1  1  1 -1 -1 -1  1 -1 -1  1  1  1  1  1 -1 -1]
 [ 1 -1  1 -1  1  1  1  1  1  1 -1  1 -1 -1 -1 -1]
 [-1  1  1  1  1  1  1 -1 -1 -1  1 -1  1 -1  1  1]
 [ 1  1  1  1  1  1  1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [ 1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1  1  1  1 -1]
 [ 1 -1  1 -1  1 -1  1 -1 -1  1 -1 -1  1  1  1  1]
 [ 1  1 -1 -1  1 -1 -1 -1  1 -1 -1  1  1  1 -1  1]
 [ 1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1  1  1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1 -1  1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1]
 [ 1  1  1  1  1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1]]",-0.328125,0.0390625
1,"[[ 1  1  1  1  1 -1  1 -1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1 -1 -1  1  1 -1 -1 -1  1  1  1  1]
 [ 1  1  1  1  1  1 -1  1  1  1  1  1 -1 -1  1 -1]
 [-1  1  1  1  1  1  1  1 -1  1  1 -1 -1  1 -1  1]
 [ 1 -1 -1 -1  1  1  1  1 -1  1 -1  1  1 -1 -1  1]
 [ 1  1  1 -1  1 -1 -1  1  1 -1 -1  1  1 -1 -1  1]
 [-1  1  1 -1  1  1 -1 -1  1 -1  1  1 -1 -1 -1  1]
 [ 1  1  1 -1 -1  1 -1 -1 -1 -1  1  1 -1  1  1 -1]
 [-1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1  1 -1]
 [-1 -1 -1 -1 -1 -1  1 -1 -1 -1  1  1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1  1  1 -1  1  1 -1 -1  1  1 -1]
 [ 1  1 -1  1 -1 -1  1  1  1  1  1 -1 -1 -1 -1  1]
 [-1 -1  1  1  1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1  1 -1 -1 -1 -1  1  1  1 -1  1 -1 -1]
 [-1 -1  1  1 -1 -1 -1 -1 -1  1 -1  1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1  1 -1 -1  1 -1 -1  1 -1 -1 -1]]",-0.4375,-0.03125
2,"[[ 1  1  1 -1  1  1 -1 -1 -1 -1  1  1  1  1  1 -1]
 [-1 -1  1  1 -1 -1 -1 -1 -1  1  1  1  1  1  1 -1]
 [-1 -1 -1  1  1  1 -1  1 -1 -1  1 -1 -1  1  1 -1]
 [ 1 -1 -1  1  1  1  1  1  1  1 -1 -1 -1  1  1  1]
 [-1 -1 -1  1 -1  1  1  1  1  1  1 -1 -1 -1  1 -1]
 [-1 -1  1 -1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1  1 -1 -1  1  1  1  1  1 -1 -1  1]
 [-1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1  1 -1  1  1]
 [-1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1 -1 -1 -1  1  1  1 -1 -1 -1]
 [ 1  1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1  1 -1 -1  1  1 -1 -1 -1  1 -1  1]
 [-1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]
 [-1  1  1  1  1  1  1  1  1  1  1 -1 -1  1  1 -1]
 [-1  1  1  1 -1 -1  1  1  1  1  1  1  1 -1  1 -1]
 [-1  1  1  1 -1  1  1  1 -1  1  1  1 -1  1  1 -1]]",-0.640625,0.09375
3,"[[-1 -1 -1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  1]
 [ 1 -1 -1 -1  1  1  1  1 -1  1  1  1 -1 -1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1  1  1  1 -1  1  1 -1 -1]
 [-1  1 -1 -1  1  1  1  1  1  1  1  1  1 -1 -1 -1]
 [-1 -1 -1  1  1  1  1 -1 -1  1 -1 -1  1  1 -1 -1]
 [ 1  1  1  1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1]
 [ 1  1 -1  1  1 -1  1  1 -1 -1 -1 -1 -1  1 -1 -1]
 [ 1  1 -1 -1 -1 -1  1  1 -1 -1  1 -1  1  1 -1 -1]
 [ 1 -1 -1  1 -1 -1  1  1 -1  1  1  1 -1  1 -1 -1]
 [-1  1  1  1  1  1  1 -1 -1 -1  1 -1 -1  1 -1  1]
 [-1  1 -1  1  1  1  1 -1 -1 -1 -1 -1 -1  1 -1  1]
 [ 1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1 -1  1  1  1  1  1 -1  1 -1  1 -1 -1 -1 -1]
 [ 1  1 -1  1  1  1  1  1  1  1 -1 -1  1 -1 -1  1]
 [-1 -1 -1 -1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1  1 -1 -1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]]",-0.578125,-0.0703125
4,"[[-1  1  1  1  1  1  1 -1  1  1  1 -1 -1  1 -1 -1]
 [ 1  1 -1 -1  1 -1 -1 -1  1 -1  1 -1  1  1  1 -1]
 [-1 -1 -1 -1  1  1 -1 -1  1 -1 -1 -1  1  1  1 -1]
 [-1 -1 -1 -1  1 -1 -1 -1  1 -1 -1  1  1  1 -1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1]
 [ 1 -1  1 -1 -1 -1 -1 -1  1 -1 -1  1 -1  1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1  1]
 [ 1 -1  1 -1  1  1 -1  1 -1  1  1 -1 -1 -1 -1  1]
 [ 1  1  1 -1  1 -1 -1  1 -1  1 -1 -1 -1 -1  1  1]
 [-1 -1 -1  1  1 -1 -1 -1 -1  1  1  1  1 -1  1 -1]
 [ 1  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1]
 [ 1  1  1 -1  1 -1 -1 -1 -1 -1  1 -1  1  1  1  1]
 [-1  1  1 -1 -1 -1 -1 -1 -1  1 -1  1  1 -1 -1 -1]
 [-1  1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1]
 [-1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1  1  1]
 [-1  1  1 -1 -1 -1  1 -1 -1  1  1  1  1 -1 -1  1]]",-0.390625,-0.203125
5,"[[ 1  1 -1 -1 -1  1 -1  1  1  1  1  1 -1  1  1  1]
 [ 1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1  1  1 -1]
 [-1 -1 -1 -1 -1 -1  1  1 -1  1  1  1  1 -1  1 -1]
 [ 1 -1 -1  1 -1  1 -1  1  1 -1  1  1  1  1  1  1]
 [-1 -1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1]
 [ 1  1  1  1  1  1  1  1  1 -1  1  1  1 -1  1  1]
 [-1 -1  1  1  1  1  1 -1  1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1  1  1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1  1  1  1 -1 -1  1 -1 -1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1]
 [-1  1 -1 -1 -1 -1  1  1  1 -1 -1  1  1  1  1  1]
 [-1  1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1  1 -1 -1]
 [ 1  1 -1 -1 -1  1  1  1  1  1 -1 -1  1  1  1 -1]
 [ 1 -1 -1 -1 -1 -1  1  1  1 -1  1 -1  1  1 -1 -1]
 [-1 -1 -1 -1 -1  1  1 -1  1  1 -1  1  1 -1 -1 -1]
 [-1 -1 -1 -1  1  1  1 -1 -1  1  1 -1 -1 -1 -1 -1]]",-0.546875,-0.0078125
6,"[[-1  1  1  1 -1  1 -1  1  1 -1  1  1  1  1  1  1]
 [-1 -1 -1 -1  1  1  1  1  1  1 -1 -1 -1  1  1 -1]
 [ 1  1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1  1  1 -1 -1  1 -1  1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1  1 -1 -1  1  1 -1  1 -1 -1 -1]
 [-1  1  1 -1 -1 -1  1 -1  1  1  1  1 -1  1  1 -1]
 [-1  1 -1  1 -1 -1  1 -1  1  1  1 -1  1  1  1  1]
 [-1  1  1 -1  1  1 -1 -1 -1  1  1  1  1  1  1  1]
 [ 1  1 -1 -1  1  1  1 -1  1  1 -1  1  1 -1  1  1]
 [ 1  1 -1 -1  1  1  1  1  1  1 -1 -1  1  1  1  1]
 [ 1  1 -1  1  1  1  1  1  1  1  1 -1 -1  1 -1  1]
 [ 1 -1 -1  1 -1 -1 -1  1 -1 -1  1  1 -1 -1 -1  1]
 [-1 -1 -1 -1  1 -1 -1 -1 -1  1  1  1 -1 -1 -1  1]
 [ 1  1  1 -1  1 -1  1 -1  1  1  1  1  1  1  1  1]
 [ 1 -1  1 -1 -1 -1  1  1  1  1  1  1  1  1  1  1]
 [ 1 -1 -1 -1 -1  1 -1  1  1 -1  1  1  1  1 -1 -1]]",-0.390625,0.140625
7,"[[ 1  1  1 -1 -1  1 -1 -1 -1  1  1  1  1 -1  1  1]
 [-1  1  1  1 -1 -1 -1 -1  1  1  1  1  1  1  1  1]
 [ 1 -1  1  1 -1  1  1  1  1  1  1  1  1 -1 -1  1]
 [-1  1  1 -1 -1 -1 -1 -1  1  1 -1  1  1  1  1  1]
 [-1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1 -1 -1  1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1 -1  1  1  1 -1  1  1]
 [ 1 -1 -1 -1 -1  1  1  1 -1  1  1 -1 -1 -1  1  1]
 [-1 -1  1  1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1  1]
 [-1  1  1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1]
 [-1 -1  1  1 -1 -1 -1  1  1  1 -1  1 -1  1  1 -1]
 [ 1  1  1  1  1  1  1  1 -1 -1  1  1  1  1  1  1]
 [-1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1  1  1  1]
 [-1 -1  1  1  1  1  1  1  1  1 -1 -1 -1  1  1  1]
 [-1 -1 -1  1  1  1  1  1  1 -1 -1  1  1 -1 -1 -1]
 [-1  1 -1  1  1  1 -1 -1 -1  1  1  1 -1  1  1  1]]",-0.484375,0.046875
8,"[[ 1  1  1  1  1  1 -1 -1 -1 -1  1 -1  1  1 -1 -1]
 [ 1  1  1  1 -1  1 -1 -1 -1 -1  1  1  1  1  1 -1]
 [-1 -1 -1 -1  1  1  1  1 -1 -1 -1  1 -1 -1  1  1]
 [-1  1 -1  1 -1 -1  1 -1 -1 -1 -1 -1  1 -1 -1 -1]
 [ 1  1  1  1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1 -1  1 -1 -1 -1  1 -1 -1  1 -1  1  1  1 -1]
 [-1  1 -1  1  1 -1 -1 -1 -1 -1  1 -1 -1  1 -1 -1]
 [ 1  1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1]
 [ 1 -1  1  1  1 -1 -1  1  1 -1  1 -1 -1  1  1  1]
 [-1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1  1  1  1  1]
 [ 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1]
 [-1 -1 -1 -1  1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1 -1  1 -1 -1  1  1  1  1 -1  1]
 [ 1 -1  1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1 -1  1]
 [ 1 -1  1  1  1  1 -1 -1 -1  1  1  1  1 -1 -1 -1]
 [ 1  1  1  1  1  1  1  1 -1 -1 -1  1  1 -1 -1 -1]]",-0.453125,-0.1328125
9,"[[ 1  1  1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1]
 [-1 -1  1 -1 -1 -1  1 -1 -1  1 -1 -1 -1  1 -1  1]
 [ 1  1 -1 -1 -1  1 -1 -1  1  1  1  1  1  1  1  1]
 [-1  1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1  1 -1]
 [-1 -1 -1 -1 -1 -1  1 -1 -1  1 -1 -1  1 -1  1 -1]
 [ 1  1  1  1  1  1 -1 -1 -1  1 -1 -1  1  1  1  1]
 [ 1  1 -1  1 -1  1 -1 -1 -1 -1 -1 -1 -1  1  1 -1]
 [-1 -1  1  1 -1 -1 -1 -1 -1 -1  1 -1  1  1  1  1]
 [-1 -1  1 -1 -1  1 -1 -1  1 -1 -1 -1  1  1 -1  1]
 [-1 -1 -1  1 -1 -1 -1 -1  1  1  1  1  1  1  1 -1]
 [-1  1  1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1  1  1  1  1 -1 -1 -1  1  1 -1  1 -1 -1  1 -1]
 [-1  1  1  1  1  1 -1 -1  1  1  1  1 -1  1 -1 -1]
 [-1  1  1  1  1  1 -1  1  1  1  1  1 -1  1 -1 -1]
 [ 1 -1  1  1  1  1 -1 -1  1  1  1 -1  1 -1 -1  1]
 [-1 -1 -1 -1  1  1  1  1  1 -1  1 -1 -1 -1  1  1]]",-0.34375,-0.0234375
